Period,Number. of Issued Cards (Net),,,Debit Card Transaction,,Credit Card Transaction,,Prepaid Card Transaction,,Total  Issued Card Transaction,
,Debit,Credit,Prepaid,Number,Amount,Number,Amount,Number,Amount,Number,Amount
March'25,40632468,2571551,7934167,56726423,565567.8,5946347,38028.3,941748,6236.3,63614518,609832.4
February'25,40346611,2653977,7562366,43238584,408127,6696521,31171.1,700809,4423.3,50635914,443721.4
January'25,40093882,2706098,7547244,42458039,393176.2,5411184,33968.4,761341,4825.3,48630564,431969.9
December'24,39574049,2674512,7544985,44842543,407028.1,5638006,35321,745972,4563.6,51226521,446912.7
November'24,39193282,2612063,7365236,41974856,365662.1,5219817,30996.2,704420,4281.6,47899093,400939.8
October'24,38496738,2571521,7164627,42547883,372326.4,5282159,31922.2,728088,4372.4,48558130,408621
September'24,38166451,2544774,7111370,39686660,347068.6,5027998,29184.7,703845,4089.8,45418503,380343.1
August'24,37776211,2525821,6942797,33899151,310272.4,4261646,25561.5,613465,3975,38774262,339808.9
July'24,37432352,2520446,6542072,38111570,374771,4129180,26535.2,651404,4243.3,42892154,405549.5
June'24,37046957,2506478,6075310,47157276,478390.2,4748300,30520.1,763380,4895.9,52668956,513806.1
May'24,36658363,2491202,5995954,43474337,424978.1,4796504,30040.4,709409,4365.9,48980250,459384.5
April'24,36215413,2469541,5850790,44665848,441675.3,4851979,30636.1,714430,4586.6,50232257,476898
March'24,35869678,2450700,5697192,47670846,481011,5072260,31904.3,775630,4670.7,53518736,517586
February'24,35418498,2424363,5379541,42475094,420788.5,4568647,28315.1,689939,4391.5,47733680,453495
January'24,35062332,2418708,5255904,43194158,427257.8,4684662,28999.3,725965,4857.5,48604785,461114.7
December'23,34569683,2398577,5120934,42390261,417520.2,4715615,29169.1,669222,4112.8,47775098,450802.1
November'23,34331261,2367620,4997524,40706519,392538,4534270,27488.1,689311,3860.6,45930100,423886.7
October'23,34001815,2337580,4904421,41810339,395756.9,4783354,28656.6,667711,3803.9,47261404,428217.4
September'23,33598824,2316132,4736851,38730247,367595.1,4356695,25632.9,605206,3579.5,43692148,396807.5
August'23,33156910,2294491,4590842,39346016,378036.6,4356197,25916.3,590418,3557.7,44292631,407510.6
July'23,32666507,2268371,4409712,38168410,344567.2,4294399,26743.8,513091,2998.5,42975900,374309.6
June'23,32131984,2238663,4269805,45469617,453484.3,3905459,25830.2,630563,4172.4,50005639,483486.9
May'23,31718430,2216484,4037398,41208606,388727.1,4055964,25924.8,502526,3533.2,45767096,418185.1
April'23,31305571,2198834,3870178,46430289,441442.5,4277389,27463.7,575764,3564.5,51283442,472470.7
March'23,30997335,2178046,3745357,42588845,422596.4,4049110,26523.2,544973,3262.6,47182928,452382.2
February'23,30652242,2158816,3609114,37534747,366902.6,3662104,23128.7,498427,3028.7,41695278,393060
January'23,30244096,2136173,3487706,38637515,367653,3988104,25065.1,521504,3300.7,43147123,396018.8
December'22,29849136,2115861,3383951,37472910,367106.5,3985465,24893.8,502406,3122.6,41960781,395122.9
November'22,29542887,2087136,3279020,37528889,363563.1,3875289,24592,494014,3019,41898192,391174.1
October'22,29155758,2068597,3198443,36855390,352722.2,3941642,24582.4,506082,3043.7,41303114,380348.3
September'22,28784052,2037598,3099201,35519354,343552,3725173,22817.7,524382,3291,39768909,369660.7
August'22,28372594,2022259,2985576,35454401,340188.1,3741940,23024,482688,2976.7,39679029,366188.8
July'22,27950359,2007724,2528173,36241858,354071.9,3826773,25779.9,448018,2905.6,40516649,382757.4
June'22,27623986,1978196,1869559,35437558,347446.6,3752891,24913.2,441643,2954.4,39632092,375314.2
May'22,27169150,1941162,1639290,29186418,260508.4,3725590,23710.6,386198,1791.1,33298206,286010.1
April'22,26790235,1922273,1547578,34878785,333171.8,4093995,27152.8,544359,3098.1,39517139,363422.7
March'22,26447201,1892324,1433849,30394108,283750.1,3798207,25134.4,461423,2305.2,34653738,311189.8
February'22,25980681,1869149,1346291,25759397,244107.4,3249764,21087.7,413633,2080.1,29422794,267275.2
January'22,25574668,1847534,1198452,27109022,247009.9,3429392,21383.8,441746,2330.6,30980160,270724.3
December'21,25285859,1833242,1154901,27117021,243569.7,3471872,22289.8,411136,2149.8,31000029,268009.3
November'21,24999319,1802876,1130272,26156395,231785.2,3370208,20924,399919,2005.8,29926522,254714.9
October'21,24675363,1779794,1075009,25655022,231262.9,3203824,19642.8,453781,2012.1,29312627,252917.8
September'21,24225164,1762978,1026580,24814678,225221.7,3031396,18397,417472,1990.3,28263546,245609
August'21,23865558,1746763,981158,23275096,209347.9,2769991,16744.3,382260,1795.1,26427347,227887.3
July'21,23620886,1737932,954673,22791600,217839.5,2246057,14865.6,376682,2266,25414339,234971
June'21,23363702,1734418,934250,25470741,216988.1,2701342,19349.4,358273,1916.8,28530356,238254.3
May'21,23041234,1719832,873977,27339598,224520,2838557,17083.7,394511,2109.1,30572666,243712.8
April'21,22792079,1708072,862762,23433399,202485.4,2336608,15345.6,331110,1735.8,26101117,219566.8
March'21,22449847,1698741,811757,26328382,220003.3,2873498,17831.8,365721,1808.1,29567601,239643.2
February'21,22055754,1676006,760693,22730161,180634.9,2484082,15093.1,327682,1654.8,25541925,197382.8
January'21,21670524,1655921,755644,23645866,188702.5,2630922,15794,355710,1754.5,26632498,206251.1
December'20,21377291,1639669,699184,23563580,187956.5,2626449,15609.1,354021,1678.3,26544050,205243.8
November'20,20969416,1615051,687718,21937348,173325.7,2558886,14341.4,371068,1580.1,24867302,189247.2
October'20,20629271,1597377,648104,21050317,165291.6,2354391,13812.2,296693,1793.7,23701401,180897.5
September'20,20295617,1584816,615894,19167226,152111.2,2119260,12202.1,278962,1414.2,21565448,165727.5
August'20,19994649,1585038,593825,17290129,132020,1882107,10740.2,228049,1082.5,19400285,143842.7
July'20,19972790,1564039,589785,21194304,181235.7,1911173,12523.8,331852,1991.1,23437329,195750.6
June'20,19725783,1560459,586230,15021035,125280.6,1412082,8979.9,240778,1403,16673895,135663.5
May'20,19476370,1565360,552098,14483889,117949.5,1245319,7139.2,232292,1346,15961500,126434.7
April'20,19377791,1566732,531996,10525050,83356.9,1064635,5230.5,127063,620.3,11716748,89207.7
March'20,19300127,1566074,495791,19113153,151367,2186570,11350.5,263018,1461,21562741,164178.5
February'20,18990843,1552290,479381,19359073,147763.1,2286800,12181.5,275532,1427,21921405,161371.6
January'20,18611681,1524492,428910,20054587,152695.4,2469512,13570.9,359153,1820.9,22883252,168087.2
December'19,18231093,1505608,413582,20144404,151837.4,2542504,13396.7,326147,1408.5,23013055,166642.6
November'19,17961101,1489650,399407,19066519,137132.5,2346662,11955.1,290463,1335,21703644,150422.6
October'19,17669974,1470210,387728,19364443,141718.4,2311271,11807.8,283195,1276.6,21958909,154802.8
September'19,17440416,1444397,367724,18519147,132739.2,2197317,10063.8,286922,1273.7,21003386,144076.7
August'19,17175101,1428757,351294,19554608,150704.8,2222690,10354.8,271638,1466,22048936,162525.6
July'19,17459889,1416652,338625,18968198,140405.4,2220007,10481.2,271935,1405.5,21460140,152292.1
June'19,16915478,1394675,320235,17339564,126352.9,2066656,11353.9,205608,1177.5,19611828,138884.3
May'19,16487478,1383529,307827,21349587,166227,2280825,12636.7,252755,1454.9,23883167,180318.6
April'19,16151290,1361438,294436,18337142,134757.4,2074129,10976.7,211512,1070.4,20622783,146804.5
March'19,15858222,1349292,281788,17813737,131696.1,1973804,10886.1,198080,1038.8,19985621,143621
February'19,15636374,1331457,272491,16213676,125205.7,1686232,9348.9,171843,942.3,18071751,135496.9
January'19,15244328,1313133,263327,18032004,132451,1925238,11135.8,193842,1107.9,20151084,144694.8
December'18,15069435,1349842,243432,16692928,124488.8,1922428,10432.8,199951,984.9,18815307,135906.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
